,ANSALAPI,BINANIIND,CENTEXT,CHOWGULSTM,GLFL,GTL,HCL-INSYS,HINDMOTORS,HLVLTD,HYBRIDFIN,KGDENIM,MANUGRAPH,MIDINDIA,MIRCELECTR,PILITA,PREMIER,RAMANEWS,ROLLT,SETCO,SILVERLINE,SVPGLOB,TCIFINANCE,TPINDIA,ANSALHSG,ARSHIYA,AVONMORE,BAIDFIN,DCMFINSERV,IVC,KANANIIND,LAKPRE,RANASUG,RUCHINFRA,SAMBHAAV,UNITECH,VAKRANGEE,VIVIDHA,BHANDARI,CRANESSOFT,GUJCOTEX,HARIAEXPO,HINDNATGLS,INDIANACRY,MMWL,PATSPINLTD,PVP,RAMGOPOLY,SANWARIA,SHYAMTEL,SURANAT&P,VARDMNPOLY,VXLINSTR,WINSOME,EUROTEXIND,FEL,GEMSPIN,KANDAGIRI,NORBTEAEXP,PARASPETRO,SUPERSPIN,SYNCOMF,TNTELE,VIKASWSP,CCHHL,INDSWFTLTD,KEEPLEARN,NILAINFRA,PATINTLOG,SIL,URJA,ALANKIT,ALPSINDUS,COUNCODOS,DRL,ELFORGE,GATECH,HAVISHA,MADHUCON,MOHITIND,RAJRILTD,UYFINCORP,VIKASECO,VIKASPROP,WINPRO,3IINFOLTD,ADROITINFO,AKSHOPTFBR,AMBICAAGAR,ANKITMETAL,ARCHIES,ASMS,BAGFILMS,BLBLIMITED,BLUECHIP,CALSOFT,CELEBRITY,CEREBRAINT,CINEVISTA,COMPUSOFT,CREATIVEYE,CYBERMEDIA,DISHTV,ENERGYDEV,FCSSOFT,FILATFASH,GTLINFRA,GTNTEX,GUJSTATFIN,GVKPIL,HDIL,HTMEDIA,IMPEXFERRO,JHS,LCCINFOTEC,MBECL,MORARJEE,NDL,NEXTMEDIA,NOIDATOLL,ORIENTALTL,PADMALAYAT,PARSVNATH,PBAINFRA,SAKUMA,SALSTEEL,SARTHAKIND,SGL,SINDHUTRAD,SITINET,SUBEXLTD,TFL,TGBHOTELS,UMESLTD,VISASTEEL,ZEEMEDIA,ZENITHSTL,A2ZINFRA,ARSSINFRA,BCP,BURNPUR,CCCL,DUCON,EROSMEDIA,ESSENTIA,EXCEL,FLFL,FMNL,GOENKA,GREENPOWER,HATHWAY,IL&FSTRANS,INDOWIND,INVENTURE,KRIDHANINF,LGBFORGE,LPDC,LYPSAGEMS,MTEDUCARE,NAGREEKCAP,NIBL,OMKARCHEM,ONELIFECAP,PRAKASHSTL,PROZONER,RKDL,SEPC,SETUINFRA,SHAH,STEELXIND,SUNDARAM,TAKE,TARAPUR,TIJARIA,TPHQ,TREEHOUSE,VIJIFIN,YAARI,ZEELEARN,BALKRISHNA,GENUSPAPER,LANCER,MANAKALUCO,NAGAFERT,ORTINGLOBE,PRITIKAUTO,RAMASTEEL,SABEVENTS,SADBHIN,SHYAMCENT,SIMBHALS,TVVISION,AKI,AKSHAR,ASHOKAMET,ASTRON,AXITA,DAVANGERE,DNAMEDIA,DRCSYSTEMS,FSC,GAYAHWS,GOYALALUM,HEADSUP,INNOVATIVE,KBCGLOBAL,LAL,LASA,NILASPACES,PRAXIS,RADIOCITY,SALASAR,SBC,SUVIDHAA,TRU,VIKASLIFE,VISHWARAJ,ATALREAL,BTML,IEL,JETFREIGHT,KAMOPAINTS,NARMADA,SARVESHWAR,SECURCRED,VINNY,EQUIPPP,FELDVR,MGEL,RADAAN,Unnamed: 0,Quarter
2024-12-31 00:26:16.414030,0.83,0.9200000000000004,0.97,0.8300000000000001,0.04,13.91,-0.42000000000000004,1.6600000000000001,0.35000000000000003,0.6,-7.23,-5.71,-0.35000000000000003,-2.06,0.21000000000000002,-2.9899999999999998,-3.25,-0.01,0.039999999999999994,-0.13,-9.57,-0.54,-0.37,7.0200000000000005,-44.589999999999996,-0.02,0.86,-0.44000000000000006,0.6,0.0,-30.3,0.94,0.4700000000000001,0.13,-11.53,0.060000000000000005,-0.53,0.27,-1.4700000000000002,0.31000000000000005,0.08,13.71,-3.95,0.01,-1.67,1.3399999999999999,-0.97,-0.060000000000000005,-2.7199999999999998,0.61,-1.19,-2.18,-1.72,-6.93,-14.91,-0.12,-5.77,-1.51,-0.01,-3.64,0.29000000000000004,-3.2299999999999995,-1.31,0.13000000000000003,7.3999999999999995,0.03,0.46,0.96,-0.13000000000000006,0.04,0.6300000000000001,-15.010000000000002,0.19,-2.13,35.15,0.02,-0.18,-1.6099999999999999,-1.18,0.010000000000000009,3.46,0.09,-0.29000000000000004,-0.02,-40.52000000000001,0.48000000000000004,-13.219999999999999,-0.5399999999999999,-18.2,-2.3299999999999996,0.07,0.05,1.7,-0.01,0.4,-1.51,-4.18,-1.08,0.56,-1.23,-0.74,-7.5200000000000005,-0.33,-0.08,0.0,-0.6100000000000001,-10.53,-13.700000000000001,-0.13,-0.21,-2.35,-3.4000000000000004,-0.27,-4.209999999999999,-40.959999999999994,-55.44,0.36,-0.77,-1.51,-0.8300000000000001,-0.2,-8.83,1.0799999999999996,0.12,0.07000000000000005,0.98,-0.49,0.39999999999999997,-1.7299999999999995,-3.7200000000000006,0.12999999999999998,-1.22,0.03,-5.6,-1.5299999999999998,-0.010000000000000009,-0.51,-8.17,0.009999999999999981,-11.240000000000002,18.929999999999996,0.17,-15.92,0.09,0.01,-104.89999999999999,11.780000000000001,-0.06999999999999999,-0.27,0.5,-0.6399999999999997,0.37,0.060000000000000005,-2.94,-0.28,-0.89,0.0,-2.16,12.970000000000002,-12.07,-6.42,-0.5900000000000001,2.1199999999999997,0.37,-0.6000000000000001,0.16000000000000003,-0.11000000000000001,0.6500000000000001,0.21999999999999997,-0.08000000000000002,-14.0,6.96,-0.94,0.08,-0.75,-0.03,-4.41,1.53,-17.849999999999998,0.32,0.9500000000000001,0.72,33.02,-10.02,0.97,0.14,-1.04,-13.760000000000002,-0.19,-3.13,-7.25,0.18000000000000002,0.04,1.11,-3.4,0.52,0.13,11.65,0.16999999999999998,-156.16000000000003,0.06999999999999998,0.16,-1.67,-10.25,-0.5,0.41000000000000003,-3.88,0.33999999999999997,-6.029999999999999,0.17,0.32,0.59,-0.66,0.98,0.009999999999999998,0.2600000000000001,0.18999999999999997,0.17,-1.7,0.93,-0.02,0.5,0.09000000000000001,1.1700000000000002,0.07999999999999999,0.03,43.089999999999996,1.54,0.19999999999999998,2024-12-31 00:26:16.414030,2024Q4
2024-09-30 00:26:16.414030,0.30999999999999994,-1.8599999999999999,0.92,2.04,0.030000000000000002,13.4,-0.4700000000000001,1.2200000000000002,0.36,0.51,-9.85,-6.52,-0.27,-2.4,0.19999999999999998,-3.42,-3.2800000000000002,0.0,0.01,-0.12000000000000001,-9.649999999999999,-0.37,0.049999999999999975,0.55,-9.25,0.0,1.07,-0.42000000000000004,0.6900000000000001,0.01,-35.269999999999996,1.8199999999999998,0.6,0.11,-9.79,0.06,-0.53,0.27,-1.58,0.22,0.08,18.24,-3.99,0.0,-2.15,1.24,-1.15,-0.06999999999999999,-2.77,0.55,-0.85,-1.9299999999999997,-2.9800000000000004,-7.470000000000001,-16.84,-0.1,-4.57,-1.44,-0.010000000000000002,-3.8,0.26,-3.2,-1.31,-0.07999999999999996,2.63,0.02,0.39,0.86,-0.31000000000000005,0.06,0.61,-14.38,0.2,-2.54,34.99,0.01,-0.14,-1.4,-1.36,0.07999999999999999,3.42,0.04,-0.29000000000000004,-0.02,-48.13000000000001,0.39,-12.87,-2.1300000000000003,-15.870000000000001,-2.44,0.06000000000000001,0.05,0.49000000000000005,-0.53,0.38,0.33,-3.99,-1.3,0.6,-1.28,-0.23,-7.28,-0.38000000000000006,-0.09,0.03,-0.53,-10.35,-13.38,-0.12000000000000001,-0.22,-4.88,-0.030000000000000027,-0.59,-4.22,-41.75,-45.01,0.36,-1.89,-1.71,-0.89,-0.13999999999999999,-9.7,0.21999999999999886,0.11,0.06,0.73,-0.9500000000000001,0.35,-3.6799999999999997,-3.7700000000000005,0.06999999999999995,-1.21,0.03,-6.209999999999999,-1.28,-0.050000000000000044,-0.5,-15.540000000000001,0.1,-11.5,17.27,0.16,-14.89,0.16,0.0,-112.32,-1.01,-0.08,-0.04,0.47,7.65,0.34,0.08,-2.64,-0.41000000000000003,-0.88,-0.02,-2.04,10.57,-11.47,-6.12,-0.03,3.31,0.41,-0.8200000000000001,0.14,-0.010000000000000002,0.6200000000000001,0.16999999999999998,-0.11000000000000001,-0.09999999999999998,-0.64,-1.02,0.06,-0.7799999999999999,-0.01,-4.319999999999999,1.53,-22.1,0.22000000000000003,1.19,0.78,-21.47,-9.879999999999999,1.2399999999999998,0.16000000000000003,-1.1600000000000001,-15.96,0.039999999999999994,-2.92,-7.29,0.19,0.04,0.8,-1.74,0.59,0.13,11.62,0.18000000000000002,-159.03,-0.030000000000000027,0.17,-1.96,-34.03,-0.54,0.33999999999999997,-4.33,0.24,-6.85,0.24,0.33,0.42000000000000004,-0.7,1.01,0.03,0.6900000000000001,0.19,0.30000000000000004,-1.69,0.060000000000000164,-0.01,0.26,0.09000000000000001,1.9700000000000002,0.08,-0.009999999999999995,34.53,1.22,-0.07999999999999996,2024-09-30 00:26:16.414030,2024Q3
2024-06-30 00:26:16.414030,-18.240000000000002,-32.13,0.84,1.5000000000000002,0.03,5.800000000000001,-0.48,0.46,0.36,0.30000000000000004,-11.14,-5.79,-0.26,-2.69,0.18999999999999997,-3.67,-9.059999999999999,0.02,-0.6,0.03,-1.8000000000000003,-0.30000000000000004,3.8200000000000003,-1.03,-8.899999999999999,-0.010000000000000002,1.2,-2.2800000000000002,-0.03,0.02,-40.42,3.36,0.58,0.020000000000000018,-7.119999999999999,0.05,-0.06999999999999999,0.27,1.06,0.09,0.08,24.040000000000003,-1.6900000000000002,0.0,-4.6899999999999995,-3.5700000000000003,-1.0699999999999998,-0.08,-1.05,0.07,-1.1500000000000001,-2.26,-3.95,-2.15,-20.929999999999996,-0.09,-0.6699999999999999,-0.97,0.02,-3.07,0.28,-2.9200000000000004,-1.5899999999999999,-8.760000000000002,5.5,0.01,0.28,0.7899999999999999,-2.58,0.05,0.62,-15.58,0.22,-1.8299999999999998,35.0,0.0,-0.07,-0.41000000000000003,-1.8300000000000003,0.07,3.21,0.05,-0.30000000000000004,-0.01,-48.510000000000005,0.24,0.4,-1.22,-9.82,0.8300000000000001,4.509999999999999,0.0,1.37,-0.37,0.41000000000000003,0.61,-4.34,-4.75,0.84,-1.32,0.08999999999999998,-11.25,-0.5700000000000001,-0.06,0.11,-0.96,-20.04,-13.5,0.04,-0.39999999999999997,-5.1000000000000005,-0.08999999999999997,-2.01,-1.36,-50.22,-47.21,0.32,-1.8599999999999999,-1.96,-0.18,-0.11,-8.850000000000001,1.3499999999999996,0.13,-0.26999999999999996,1.3,-0.64,0.3,-3.7199999999999998,-1.72,-1.4600000000000002,0.52,0.07,-7.199999999999999,-1.37,-0.32,-5.2700000000000005,-14.77,0.22,-10.97,16.699999999999996,0.13,-17.36,0.15,0.0,-121.36,-7.859999999999999,-0.08,-0.01,0.49,7.630000000000001,-1.64,0.060000000000000005,-0.7000000000000001,-0.33999999999999997,-0.44999999999999996,-0.03,-6.83,-22.12,-10.8,-2.48,-0.04,1.31,0.36,-2.33,-0.019999999999999997,0.0,0.11,0.09999999999999999,-0.14,0.22000000000000003,-12.12,-1.75,0.05,-0.9000000000000001,0.0,-6.840000000000001,-6.93,-15.37,0.16,1.35,1.07,-27.72,-5.04,1.3099999999999998,0.18000000000000002,-1.05,-13.92,0.4600000000000001,-5.749999999999999,-6.45,0.15,0.07,0.37,-1.0,0.61,0.16999999999999998,7.3999999999999995,0.24000000000000005,-21.099999999999998,-7.940000000000001,0.15000000000000002,-3.35,-62.190000000000005,-0.5900000000000001,0.35,-4.2700000000000005,0.16999999999999998,-5.18,0.2,0.32999999999999996,0.4,-0.48,1.0,0.13,-1.8800000000000006,0.16,0.37,-19.999999999999996,-0.2400000000000001,-0.02,0.13,0.09,1.9200000000000002,0.09000000000000001,-0.04,24.600000000000005,1.1600000000000001,-0.27999999999999997,2024-06-30 00:26:16.414030,2024Q2
2024-03-31 00:26:16.414030,-25.39,-31.720000000000002,0.81,1.5,0.12,5.53,-0.59,-0.14,0.27,0.16,-12.41,-4.82,-0.07,-0.8,0.2,-4.0,-8.84,0.02,-0.79,0.07,-1.3900000000000001,-1.18,3.9,-1.2999999999999998,-9.02,-0.03,1.13,-2.28,0.7000000000000001,0.03,-38.02,3.1000000000000005,0.47000000000000003,-0.15000000000000002,-6.81,0.04,-0.060000000000000005,0.27,-13.499999999999998,0.020000000000000004,0.02,18.21,-1.05,0.0,-3.2800000000000002,-4.83,-0.79,-0.08,-1.75,0.07,-0.7300000000000002,-2.21,-3.74,-2.4499999999999997,-24.470000000000002,-0.08,4.05,0.09999999999999998,0.01,-4.0,0.25,-2.8499999999999996,-1.5899999999999999,-8.91,8.07,0.02,0.16,0.75,1.4600000000000004,0.05,0.64,-15.34,0.21000000000000002,-2.5199999999999996,0.5900000000000001,0.0,-0.03,-0.4,-1.92,-0.009999999999999995,3.08,0.07,-0.23000000000000004,-0.01,-47.09,0.23000000000000004,0.6900000000000001,0.19999999999999984,-7.01,0.74,4.179999999999999,0.0,1.2,-0.38,0.020000000000000046,1.01,-1.85,-5.0,0.82,-0.73,1.6700000000000002,-11.24,-0.6300000000000001,-0.019999999999999997,0.19,-1.1800000000000002,-14.629999999999999,-13.39,0.060000000000000005,-0.41,-8.459999999999999,-3.5500000000000003,-2.44,-1.4000000000000001,-76.43,-50.09,0.15,-3.91,-1.97,-0.24000000000000002,-0.1,-10.05,-99.86999999999999,0.13,0.12000000000000001,1.08,-0.82,0.29000000000000004,-3.65,-1.6400000000000001,-1.56,0.47,0.04,-41.13,-2.03,-0.26,-5.299999999999999,-5.140000000000001,0.24,-8.14,-17.29,0.11000000000000001,-11.819999999999999,0.11,-0.02,-35.29,-8.02,-0.07,0.11,0.43,7.49,-1.5299999999999998,0.05,-4.609999999999999,-0.43,-0.44999999999999996,-0.019999999999999997,-6.87,-27.31,-9.3,-1.29,-0.04,1.35,0.4,-2.0,-0.039999999999999994,-0.010000000000000009,-0.11,-0.49,-0.12000000000000001,0.4,-12.09,-1.9000000000000001,0.03,-0.42000000000000004,-0.01,-7.16,-11.370000000000001,-18.35,0.010000000000000009,1.58,1.07,-25.24,-1.04,1.38,0.17,-0.83,-11.23,0.67,-5.889999999999999,-6.36,0.15000000000000002,0.07,0.1,-2.0100000000000002,0.6500000000000001,0.13,8.02,0.35000000000000003,-29.53,-7.840000000000001,0.14,-3.71,-36.370000000000005,-0.4,0.21,-5.19,0.039999999999999994,-4.23,0.09,0.32,0.38,-0.29,0.5900000000000001,-0.06,-1.5300000000000002,0.16999999999999998,0.51,-19.999999999999996,-1.58,-0.03,0.15,0.07,1.8499999999999999,0.06,-0.03,26.470000000000002,1.03,-0.35,2024-03-31 00:26:16.414030,2024Q1
2023-12-31 00:26:16.414030,-24.64,-30.990000000000002,0.71,1.37,0.08,-0.3499999999999999,-1.05,-0.1,0.19,0.009999999999999995,-13.36,-3.6500000000000004,0.09,-0.98,0.18000000000000002,-4.32,-8.59,0.01,-0.71,0.07,-1.1,-1.74,4.0600000000000005,-8.84,-6.9399999999999995,0.04000000000000001,1.13,-2.09,0.79,0.04,-40.69,4.1,0.16,-0.17,-6.52,0.02,-0.06,0.28,-15.139999999999999,-0.029999999999999992,-0.03,-0.9899999999999984,0.6599999999999999,0.0,-5.32,-0.32999999999999974,-0.8700000000000001,-0.07,-2.9000000000000004,0.05,0.4499999999999999,-1.54,-3.4899999999999998,-2.6799999999999993,-51.1,-0.1,4.24,-0.05999999999999997,0.01,-3.39,0.21999999999999997,-2.7600000000000002,-1.5899999999999999,-8.97,8.09,0.02,0.1,0.71,2.4400000000000004,0.04,0.7600000000000001,-15.37,0.11,-1.4100000000000001,0.12,0.0,-3.469446951953614e-18,-0.64,-1.2,-0.15000000000000002,0.55,0.1,0.08,-0.02,-6.54,0.28,0.8,1.71,-4.4399999999999995,0.6200000000000001,0.4199999999999995,0.02,1.3499999999999999,-0.39,-0.11999999999999997,1.24,-0.41999999999999993,-5.08,0.61,-0.6599999999999999,1.84,-11.15,0.07,0.01,0.28,-1.3,-14.799999999999999,-13.569999999999999,0.060000000000000005,-0.42,-8.66,-3.8200000000000003,-2.4899999999999998,-0.07,-78.65,-51.08,6.938893903907228e-18,-3.87,-1.91,-0.29,-0.09,-10.82,-99.38,0.13,0.42000000000000004,0.8,-0.65,0.2,-3.4299999999999997,-1.56,-1.69,0.46,0.01,-40.27,-1.56,-0.13,-5.09,-4.55,0.04999999999999999,-8.27,-2.5799999999999996,0.11000000000000001,-10.73,0.12000000000000001,0.0,-38.71,-4.789999999999999,-0.06,0.07,0.44,7.390000000000001,-1.5799999999999998,0.05,-4.99,-0.47,-0.47,-0.009999999999999998,-6.96,-28.37,-7.48,0.5199999999999998,-0.04,1.33,0.43000000000000005,-1.3099999999999998,0.20000000000000004,-0.020000000000000004,-0.059999999999999984,-0.78,-0.03,0.29000000000000004,-11.9,-2.08,0.05,-1.44,-0.01,-1.1500000000000001,-11.100000000000001,-16.229999999999997,-0.55,1.9300000000000002,1.2,-26.130000000000003,0.43999999999999995,1.41,0.15000000000000002,-0.97,-9.14,1.0000000000000002,-6.1000000000000005,-5.67,0.24,-0.04000000000000001,0.06,-3.87,0.53,0.14,10.86,0.34,-39.099999999999994,-7.720000000000001,0.17,-4.079999999999999,-37.68,-0.36,0.0,-6.82,-0.12000000000000001,-2.93,0.14,0.28,0.36000000000000004,-0.18,0.39,0.020000000000000004,-1.3000000000000005,0.0,0.39,-19.58,-0.86,-0.04,0.18000000000000002,0.06,2.04,0.03,0.0,-9.93,1.02,-0.25999999999999995,2023-12-31 00:26:16.414030,2023Q4
2023-09-30 00:26:16.414030,-24.26,-31.03,0.75,0.09999999999999998,0.09,3.6300000000000003,-1.17,5.204170427930421e-18,0.12000000000000001,0.009999999999999997,-10.68,-3.7099999999999995,0.28,-0.8300000000000001,0.16999999999999998,-4.49,-8.0,0.0,-0.6599999999999999,0.060000000000000005,-0.86,-1.96,3.7,-9.7,16.06,0.8300000000000001,0.86,-2.2,0.7700000000000001,0.03,-34.97,4.12,0.06,-0.16999999999999998,-9.209999999999999,0.060000000000000005,-0.05,0.28,-7.43,5.204170427930421e-18,-0.04999999999999999,-26.06,1.42,0.0,-5.859999999999999,1.5600000000000005,-0.88,-0.07,-4.32,0.5500000000000002,0.04999999999999993,-1.1400000000000001,-2.12,-2.9399999999999995,-23.050000000000004,-0.11000000000000001,4.0,0.1700000000000001,0.01,-3.5599999999999996,0.21,-2.6199999999999997,-1.6,-8.97,4.8,0.0,0.060000000000000005,0.7000000000000001,3.15,0.04,-0.4899999999999999,-15.45,0.1,-1.4,-0.51,0.0,0.04,0.6100000000000001,-1.04,-0.22000000000000003,0.41,0.11,0.11,-0.03,0.6699999999999998,0.27999999999999997,0.95,1.4700000000000002,-1.83,0.71,-3.59,-0.02,1.14,0.12,0.020000000000000046,1.1800000000000002,0.45000000000000007,-4.87,0.59,-0.18,2.0100000000000002,-11.03,0.14000000000000012,0.01,0.25,-1.44,-15.429999999999998,-14.04,0.05,-0.42000000000000004,-12.309999999999999,-6.46,-2.6,-0.049999999999999996,-116.81,-38.95,-0.05999999999999999,-2.65,-1.89,-0.6,-0.08,-10.38,-99.17,0.15000000000000002,0.43000000000000005,0.8200000000000001,0.08000000000000002,0.22,-3.13,-1.22,-1.78,0.45000000000000007,0.01,-40.06,-1.11,0.03,-5.199999999999999,2.38,0.16,-8.219999999999999,-2.73,0.11000000000000001,-2.18,0.06999999999999999,0.0,-42.980000000000004,-5.49,-0.05,0.02,0.35,7.18,-1.56,0.04,-5.3100000000000005,-0.39,-0.48,0.010000000000000002,-6.72,-28.9,-5.880000000000001,0.98,-0.010000000000000002,0.24000000000000002,0.42000000000000004,-0.95,-0.08999999999999998,-0.24000000000000002,-0.049999999999999996,-0.74,0.06000000000000001,-32.5,-11.77,-3.31,0.060000000000000005,-10.42,0.01,46.260000000000005,-10.97,-16.11,-0.53,2.21,1.35,-15.04,-0.1100000000000001,1.4,0.11000000000000001,-0.78,-10.159999999999998,1.22,-7.6000000000000005,-5.3100000000000005,0.15,-0.040000000000000015,0.0,-4.45,0.49,0.14,13.66,0.33,-42.02,-7.5600000000000005,0.0,-4.41,-17.1,-0.18,0.0,-8.8,-0.12000000000000001,-1.69,0.13,0.27,0.34,-0.030000000000000013,0.43999999999999995,-0.009999999999999995,-1.1400000000000003,0.0,0.27,0.0,0.010000000000000009,0.0,0.17,0.05,1.21,0.039999999999999994,0.030000000000000002,0.0,1.19,-0.31999999999999995,2023-09-30 00:26:16.414030,2023Q3
2023-06-30 00:26:16.414030,-4.5,-0.38,1.01,-25.87,0.07,1.61,-1.65,0.43,-0.24000000000000005,0.009999999999999998,-7.34,-4.28,0.51,-0.54,0.13,-4.32,-1.7,-0.03,-5.49,0.06,-0.29,-26.660000000000004,0.0,-10.540000000000001,15.779999999999998,0.8700000000000001,0.9299999999999999,0.04000000000000001,1.1700000000000002,0.03,-17.33,2.25,1.7300000000000002,-0.08,-8.649999999999999,0.05,-0.019999999999999997,0.29000000000000004,-10.33,0.009999999999999995,0.55,-41.64,-1.73,0.0,-5.7,-13.530000000000003,-1.05,-0.05,-6.02,0.8,0.08999999999999997,-0.03999999999999998,-2.15,-11.620000000000001,-23.05,-0.12000000000000001,2.49,-0.009999999999999953,0.03,-1.63,0.18000000000000002,-2.3499999999999996,-7.01,0.13000000000000006,-6.010000000000001,0.04,0.05,0.71,31.74,0.03,-0.44999999999999996,-20.630000000000003,0.1,-1.68,-1.1400000000000001,-0.02,0.08,-2.19,-0.49,-63.74,1.38,0.1,0.10999999999999999,-0.02,3.0999999999999996,-0.010000000000000009,0.9299999999999999,1.31,-1.8399999999999999,-0.13,-11.680000000000001,0.019999999999999997,0.95,-0.05,0.13000000000000006,1.79,0.51,-2.79,0.5599999999999999,0.0,1.98,-13.76,0.38,0.01,0.22000000000000003,-1.52,-6.59,-14.16,0.08,-0.28,-11.83,-5.57,-1.6500000000000001,-0.1,-99.44,-33.77,1.0408340855860843e-17,-2.58,-1.8599999999999999,-0.73,-0.14,-6.94,-87.36999999999999,0.16,1.02,0.38,0.5000000000000001,0.030000000000000006,-3.09,-0.4,-0.7,-1.01,0.01,-38.96,-0.7200000000000001,0.62,-0.5,-32.760000000000005,0.030000000000000027,-8.81,-2.8799999999999994,0.17,1.3199999999999998,0.07,0.009999999999999998,-43.19,-0.4600000000000001,-0.05,-0.12,0.37,-1.0599999999999996,0.30000000000000004,0.04,-42.03,-0.31,-0.04,0.04,-3.3499999999999996,2.9499999999999997,-5.42,-2.9,0.030000000000000006,7.3,0.41000000000000003,0.08000000000000002,-1.08,-0.49000000000000005,-0.06,-0.6,0.12000000000000002,-32.54,3.49,-4.96,0.05,-10.56,0.03,45.510000000000005,-6.68,-15.61,-0.27999999999999997,2.46,1.09,-7.890000000000001,-0.41000000000000014,1.28,0.07,-0.9400000000000002,-13.01,1.83,-8.540000000000001,-5.3100000000000005,0.6200000000000001,-0.08000000000000002,0.0,-3.9399999999999995,0.51,0.08,8.65,0.28,-45.43000000000001,-0.41000000000000003,0.0,-2.65,-10.389999999999999,-0.24,0.0,-2.83,-0.1,-0.5,0.09999999999999999,0.26,0.27,-0.16,0.5,-0.07999999999999999,3.1999999999999997,0.0,0.15000000000000002,0.0,-0.02999999999999997,0.0,0.21000000000000002,0.05,0.64,0.01,-0.07,0.0,0.75,-1.12,2023-06-30 00:26:16.414030,2023Q2
