,price
0,17.34999999999994
1,17.34999999999994
2,17.25
3,17.1499999999999
4,17.100000000000097
5,17.199999999999882
6,17.300000000000114
7,17.300000000000114
8,17.126041666666826
9,17.050000000000114
10,17.032005141388222
11,16.899999999999903
12,16.949999999999886
13,16.8999999999999
14,16.850000000000097
15,16.800000000000114
16,16.850000000000097
17,16.850000000000097
18,16.850000000000097
19,16.8999999999999
20,16.949999999999886
21,16.8999999999999
22,16.8999999999999
23,16.8999999999999
24,16.949999999999886
25,17.0
26,16.949999999999886
27,16.949999999999886
28,17.0
29,17.0
30,17.050000000000114
31,17.050000000000114
32,17.0
33,17.0
34,17.0
35,17.0
36,17.050000000000114
37,17.0
38,17.0
39,17.0
40,17.050000000000114
41,17.050000000000114
42,17.0
43,17.050000000000114
44,17.050000000000114
45,17.0
46,17.0
47,17.0
48,17.0
49,17.0
50,17.0
51,17.0
52,17.0
53,17.0
54,17.00383631713555
55,17.0
56,17.0
57,17.0
58,17.0
59,17.033248081841485
60,17.0
61,17.050000000000114
62,16.949999999999886
63,16.949999999999886
64,16.949999999999886
65,16.949999999999886
66,16.949999999999886
67,16.949999999999886
68,16.949999999999886
69,16.949999999999886
70,16.949999999999886
71,16.949999999999886
72,16.949999999999886
73,16.949999999999886
74,16.949999999999886
75,16.949999999999886
76,16.949999999999886
77,16.949999999999886
78,16.950127877237737
79,16.949999999999886
80,16.983035714285652
81,16.98312020460352
82,17.0
83,17.0
84,17.022762148337613
85,17.0
86,17.050000000000114
87,17.050000000000114
88,17.050000000000114
89,17.050000000000114
90,17.050000000000114
91,17.050000000000114
92,17.050000000000114
93,17.050000000000114
94,17.050000000000114
95,17.050000000000114
96,17.050000000000114
97,17.050000000000114
98,17.050000000000114
99,17.050000000000114
100,17.050000000000114
101,17.050000000000114
102,17.050000000000114
103,17.050000000000114
104,17.050000000000114
105,17.050000000000114
106,17.0
107,17.0
108,17.0
109,17.050000000000114
110,17.050000000000114
111,17.0
112,17.0
113,17.050000000000114
114,17.050000000000114
115,17.050000000000114
116,17.050000000000114
117,17.050000000000114
118,17.050000000000114
119,17.050000000000114
120,17.050000000000114
121,17.050000000000114
122,17.050000000000114
123,17.050000000000114
124,17.050000000000114
125,17.050000000000114
126,17.050000000000114
127,17.050000000000114
128,17.050000000000114
129,17.050000000000114
130,17.050000000000114
131,17.050000000000114
132,17.050000000000114
133,17.050000000000114
134,17.0
135,17.0
136,17.050000000000114
137,17.050000000000114
138,17.050000000000114
139,17.050000000000114
140,17.050000000000114
141,17.050000000000114
142,17.050000000000114
143,17.050000000000114
144,17.050000000000114
145,17.050000000000114
146,17.050000000000114
147,17.050000000000114
148,17.050000000000114
149,17.050000000000114
150,17.050000000000114
151,17.050000000000114
152,17.050000000000114
153,17.1000000000001
154,17.1000000000001
155,17.1000000000001
156,17.1000000000001
157,17.1000000000001
158,17.1000000000001
159,17.1499999999999
160,17.1499999999999
161,17.199999999999882
162,17.199999999999882
163,17.550000000000118
164,17.75
165,17.75
166,17.649999999999892
